Token: casa | Number: 1 | DocID: 01.txt
Token: perro | Number: 1 | DocID: 01.txt
Token: hola | Number: 2 | DocID: 01.txt
Token: san-jose | Number: 1 | DocID: 01.txt
Token: alajuela | Number: 1 | DocID: 01.txt
Token: Jenny | Number: 2 | DocID: 01.txt
Token: losQuiero | Number: 1 | DocID: 01.txt
Token: QUELINDO | Number: 1 | DocID: 01.txt
Token: QUEFEO | Number: 1 | DocID: 01.txt
Token: QUEMIERDAHAGOCONMIVIDA | Number: 1 | DocID: 01.txt
Token: jeje | Number: 1 | DocID: 01.txt
Token: jojo | Number: 1 | DocID: 01.txt
Token: jojoj | Number: 1 | DocID: 01.txt
Token: alalala | Number: 1 | DocID: 01.txt
Token: la? | Number: 1 | DocID: 01.txt
Token: jiji | Number: 1 | DocID: 01.txt
Token: Oscar? | Number: 1 | DocID: 01.txt
Token: mequieroMorir | Number: 1 | DocID: 01.txt
Token: estoNoesvida | Number: 1 | DocID: 01.txt
Token: what | Number: 1 | DocID: 01.txt
Token: enserio | Number: 1 | DocID: 01.txt
Token: no | Number: 1 | DocID: 01.txt
Token: si | Number: 1 | DocID: 01.txt
Token: quiz�s | Number: 1 | DocID: 01.txt
Token: sapo | Number: 1 | DocID: 02.txt
Token: gato | Number: 1 | DocID: 02.txt
Token: avispa | Number: 1 | DocID: 02.txt
Token: ortografia | Number: 1 | DocID: 02.txt
Token: quemal | Number: 1 | DocID: 02.txt
Token: yanotoleroesto | Number: 1 | DocID: 02.txt
Token: -_- | Number: 1 | DocID: 02.txt
Token: quemolesto | Number: 1 | DocID: 02.txt
Token: mequieromatar | Number: 1 | DocID: 02.txt
Token: ayer | Number: 1 | DocID: 03.txt
Token: hoy | Number: 2 | DocID: 03.txt
Token: no | Number: 1 | DocID: 03.txt
Token: si | Number: 1 | DocID: 03.txt
Token: maybe | Number: 1 | DocID: 03.txt
Token: hola | Number: 2 | DocID: 03.txt
Token: quelindo | Number: 1 | DocID: 03.txt
Token: jiji | Number: 1 | DocID: 03.txt
Token: que-bien | Number: 1 | DocID: 03.txt
Token: solobueno | Number: 1 | DocID: 03.txt
Token: alo? | Number: 1 | DocID: 03.txt
